Date,Open,High,Low,Close,Volume
02/28/2025,"71.45","71.57","70.56","71.21","22,167,381"
02/27/2025,"70.72","71.54","70.42","70.87","16,789,480"
02/26/2025,"71.27","71.28","70.53","70.80","14,531,180"
02/25/2025,"70.86","71.77","70.73","71.49","21,555,590"
02/24/2025,"70.84","71.73","70.33","70.59","21,418,439"
02/21/2025,"70.32","71.60","70.13","71.35","21,662,250"
02/20/2025,"69.71","70.07","69.42","70.04","13,398,010"
02/19/2025,"69.21","70.13","69.17","70.07","16,032,270"
02/18/2025,"68.55","69.37","68.42","69.05","15,569,120"
02/14/2025,"69.37","70.03","68.76","68.87","20,779,090"
02/13/2025,"69.00","69.61","68.76","69.50","24,393,150"
02/12/2025,"66.87","68.82","66.87","68.71","26,033,760"
02/11/2025,"67.50","67.67","66.41","67.60","30,589,150"
02/10/2025,"64.10","64.65","63.66","64.55","16,154,300"
02/07/2025,"63.43","63.92","63.27","63.84","13,184,670"
02/06/2025,"63.62","63.74","62.91","63.36","13,423,410"
02/05/2025,"62.72","63.29","62.59","63.12","10,686,750"
02/04/2025,"63.61","63.63","62.35","62.67","15,678,000"
02/03/2025,"63.18","63.63","62.43","63.35","12,067,880"
