Date,Open,High,Low,Close,Volume
06/20/2025,129,132.81,127.55,128.24,79930977
06/18/2025,128.01,129.21,125.77,126.79,49627113
06/17/2025,127.93,130.7,126.58,127.1,86623914
06/16/2025,118.64,128.14,117.78,126.39,100968492
06/13/2025,116.05,117.88,115.06,116.16,39702738
06/12/2025,120.62,122.25,118.03,118.5,44718367
06/11/2025,124.44,124.47,119.88,121.14,32261859
06/10/2025,121.11,124.09,120.8,123.24,41691910
06/09/2025,119.18,122.37,119.04,121.73,55437648
06/06/2025,117.69,118.38,115.88,116.19,27042080
06/05/2025,118.95,119.24,114.71,115.69,34182898
06/04/2025,117.41,119.3,115.73,118.58,31024990
06/03/2025,114.5,117.68,113.28,117.31,37161480
06/02/2025,111.06,114.86,111.01,114.63,34078359
05/30/2025,111.58,112.11,108.62,110.73,36088473
05/29/2025,115.49,115.54,112.13,113.03,30572131
05/28/2025,114.92,114.95,112.66,112.86,27483740
05/27/2025,113.18,115.4,112.27,114.56,37885020
05/23/2025,108.09,111.02,107.67,110.31,30867270
05/22/2025,111.9,112.64,110.61,110.71,29251961
05/21/2025,113.85,116.1,111.09,112.06,43594609
05/20/2025,114.35,114.51,112.08,113.51,29030820
05/19/2025,115.02,115.53,114.06,114.74,37737367
05/16/2025,118.07,118.24,116.01,117.17,43419699
05/15/2025,117.02,117.5,114.01,114.99,43843238
05/14/2025,119.83,122.52,116.59,117.72,86743695
05/13/2025,109.6,113.13,109,112.46,55659512
05/12/2025,110.42,110.67,106.98,108.12,50543398
05/09/2025,102.59,103.54,101.6,102.84,31704260
05/08/2025,101.92,105.44,101.56,101.7,54231359
05/07/2025,100.75,103.42,96.88,100.36,86648750
05/06/2025,98.41,100.07,97.44,98.62,54264246
05/05/2025,99,102.05,98.76,100.59,41268887
05/02/2025,98.4,99.88,98.3,98.8,29957891
05/01/2025,99.27,100.1,96.45,96.65,29591510
04/30/2025,92.81,97.55,91.87,97.35,29730730
04/29/2025,95.76,97.18,95.33,96.06,20700641
04/28/2025,95.58,97.49,94.27,96.39,30456680
04/25/2025,93.28,97.1,92.85,96.65,28575340
04/24/2025,91.59,94.75,90.37,94.47,33681922
04/23/2025,91.88,93.74,90.12,90.39,41102594
04/22/2025,86.12,87.17,85.17,86.26,35236738
04/21/2025,86.02,86.14,83.75,85.56,33855391
04/17/2025,88.84,89.03,86.52,87.5,34801441
04/16/2025,87.61,90.47,85.3,88.29,62109020
04/15/2025,94.66,96.85,94.62,95.29,28116539
04/14/2025,97.11,97.37,93.45,94.5,36002969
04/11/2025,90.51,94.76,90.5,93.4,57892602
04/10/2025,91,92.95,85.06,88.7,65210566
04/09/2025,79.22,97.91,78.87,96.84,97827352
04/08/2025,86.15,88.93,76.48,78.21,69910234
04/07/2025,80.68,89,77.75,83.64,70515430
04/04/2025,90.1,91.08,83.67,85.76,65847023
04/03/2025,97.79,99.45,93.64,93.8,50472539
04/02/2025,101.52,104.19,100.76,102.96,20793990
04/01/2025,102.16,102.83,100.93,102.78,23523230
